1,210,CO_RF,FR-R92B-58,HL Road Frame - Black- 58,0,Road,2003-07-01,Components,Road Frames,Yes
2,211,CO_RF,FR-R92R-58,HL Road Frame - Red- 58,0,Road,2003-07-01,Components,Road Frames,Yes
3,348,BI_MB,BK-M82B-38,Mountain-100 Black- 38,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
4,349,BI_MB,BK-M82B-42,Mountain-100 Black- 42,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
5,350,BI_MB,BK-M82B-44,Mountain-100 Black- 44,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
6,351,BI_MB,BK-M82B-48,Mountain-100 Black- 48,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
7,344,BI_MB,BK-M82S-38,Mountain-100 Silver- 38,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
8,345,BI_MB,BK-M82S-42,Mountain-100 Silver- 42,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
9,346,BI_MB,BK-M82S-44,Mountain-100 Silver- 44,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
10,347,BI_MB,BK-M82S-48,Mountain-100 Silver- 48,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
11,317,BI_RB,BK-R68R-44,Road-450 Red- 44,885,Road,2011-07-01,Bikes,Road Bikes,Yes
12,318,BI_RB,BK-R68R-48,Road-450 Red- 48,885,Road,2011-07-01,Bikes,Road Bikes,Yes
13,319,BI_RB,BK-R68R-52,Road-450 Red- 52,885,Road,2011-07-01,Bikes,Road Bikes,Yes
14,315,BI_RB,BK-R68R-58,Road-450 Red- 58,885,Road,2011-07-01,Bikes,Road Bikes,Yes
15,316,BI_RB,BK-R68R-60,Road-450 Red- 60,885,Road,2011-07-01,Bikes,Road Bikes,Yes
16,311,BI_RB,BK-R93R-44,Road-150 Red- 44,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
17,312,BI_RB,BK-R93R-48,Road-150 Red- 48,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
18,313,BI_RB,BK-R93R-52,Road-150 Red- 52,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
19,314,BI_RB,BK-R93R-56,Road-150 Red- 56,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
20,310,BI_RB,BK-R93R-62,Road-150 Red- 62,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
21,299,CO_MF,FR-M94B-44,HL Mountain Frame - Black- 44,699,Mountain,2011-07-01,Components,Mountain Frames,Yes
22,300,CO_MF,FR-M94B-48,HL Mountain Frame - Black- 48,699,Mountain,2011-07-01,Components,Mountain Frames,Yes
23,291,CO_MF,FR-M94S-44,HL Mountain Frame - Silver- 44,707,Mountain,2011-07-01,Components,Mountain Frames,Yes
24,292,CO_MF,FR-M94S-52,HL Mountain Frame - Silver- 48,707,Mountain,2011-07-01,Components,Mountain Frames,Yes
