SO43697,BK-R93R-62,10770,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,BK-M82S-44,17391,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,BK-M82S-44,14865,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,BK-R50B-62,3503,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,BK-M82S-44,5,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,BK-R93R-44,16647,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,BK-R93R-62,5626,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,BK-M82B-48,7,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,BK-M82S-38,13,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,BK-R93R-48,16623,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,BK-R93R-48,16618,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,BK-R50R-52,9044,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,BK-R93R-52,5353,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,BK-R93R-56,5519,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,BK-R93R-56,16608,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,BK-R93R-44,2515,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,BK-R93R-62,16603,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,BK-R93R-44,2593,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,BK-R93R-56,5485,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,BK-R93R-44,5531,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,BK-R50B-62,14251,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,BK-R93R-44,16670,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,BK-R93R-48,16614,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,BK-R93R-44,2266,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,BK-R93R-62,2592,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,BK-R93R-48,2583,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,BK-R50B-58,3522,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,BK-R93R-44,5522,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,BK-R93R-44,2260,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43726,BK-R50B-58,3562,2011-01-05,2011-01-12,2011-01-17,699,1,699
SO43727,BK-R93R-44,5609,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43728,BK-R93R-52,16668,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43729,BK-M82S-44,240,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43730,BK-M82S-44,14863,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43731,BK-R93R-56,5631,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43732,BK-M82B-44,27,2011-01-06,2011-01-13,2011-01-18,3375,1,3375
SO43733,BK-R93R-48,16579,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43734,BK-R93R-48,16606,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43735,BK-R93R-62,5524,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43736,BK-M82S-44,4,2011-01-07,2011-01-14,2011-01-19,3400,1,3400
SO43737,BK-R93R-44,2263,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43738,BK-R93R-48,608,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43739,BK-R93R-62,2565,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43740,BK-R93R-48,5529,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43741,BK-R93R-62,16673,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43742,BK-R93R-56,2578,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43743,BK-M82S-48,9,2011-01-09,2011-01-16,2011-01-21,3400,1,3400
SO43744,BK-R93R-52,5633,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43745,BK-R93R-44,5516,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43746,BK-R93R-48,5618,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43747,BK-R93R-56,16625,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43748,BK-R93R-52,16627,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43749,BK-R93R-56,16638,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43750,BK-R93R-44,593,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43751,BK-R93R-52,594,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43752,BK-R93R-44,2267,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43753,BK-R93R-62,5484,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43754,BK-R93R-48,16619,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43755,BK-R93R-44,16672,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43756,BK-R50B-58,8943,2011-01-12,2011-01-19,2011-01-24,699,1,699
SO43757,BK-M82B-44,19,2011-01-12,2011-01-19,2011-01-24,3375,1,3375
SO43758,BK-R93R-62,16648,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43759,BK-R93R-62,2259,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43760,BK-R93R-56,5354,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43761,BK-R93R-62,5495,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43762,BK-R93R-56,16580,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43763,BK-R93R-52,5527,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43764,BK-R93R-62,5614,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43765,BK-M82S-44,12,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO43766,BK-R93R-52,5520,2011-01-15,2011-01-22,2011-01-27,3578,1,3578
SO43767,BK-M82B-44,3,2011-01-15,2011-01-22,2011-01-27,3375,1,3375
SO43768,BK-R93R-48,16651,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43769,BK-R93R-48,10661,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43770,BK-R93R-48,16616,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43771,BK-R50R-52,3561,2011-01-16,2011-01-23,2011-01-28,699,1,699
SO43772,BK-R93R-48,5526,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43773,BK-R93R-56,5528,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43774,BK-R93R-52,5350,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,BK-M82S-48,29,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43776,BK-R93R-56,2262,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43777,BK-R93R-44,5517,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43778,BK-M82S-42,20,2011-01-17,2011-01-24,2011-01-29,3400,1,3400
SO43779,BK-R50R-44,14254,2011-01-17,2011-01-24,2011-01-29,699,1,699
SO43780,BK-R93R-44,601,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43781,BK-R93R-48,5497,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43782,BK-R93R-48,5518,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43783,BK-R93R-48,5622,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43784,BK-R93R-62,16669,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43785,BK-R93R-44,603,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43786,BK-R93R-44,609,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43787,BK-M82S-38,18387,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43788,BK-M82B-48,241,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43789,BK-M82B-48,14867,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43790,BK-M82S-38,14859,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43791,BK-R93R-56,5486,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43792,BK-R93R-48,5625,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43793,BK-M82S-38,2,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43794,BK-M82S-48,31,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43795,BK-R93R-48,16617,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43796,BK-R50B-52,6958,2011-01-20,2011-01-27,2011-02-01,699,1,699
SO43797,BK-R93R-48,5347,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43798,BK-R93R-62,5523,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43799,BK-R93R-48,5638,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43800,BK-R93R-44,10712,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43801,BK-R93R-44,2585,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43802,BK-R93R-48,595,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43803,BK-R93R-56,10743,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43804,BK-R93R-62,2587,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43805,BK-R50R-48,3512,2011-01-22,2011-01-29,2011-02-03,699,1,699
